2,3,1+2
2,4,1+3
2,16,7+9
2,17,8+9
3,6,1+2+3
3,7,1+2+4
3,23,6+8+9
3,24,7+8+9
4,10,1+2+3+4
4,11,1+2+3+5
4,29,5+7+8+9
4,30,6+7+8+9
5,15,1+2+3+4+5
5,16,1+2+3+4+6
5,34,4+6+7+8+9
5,35,5+6+7+8+9
6,21,1+2+3+4+5+6
6,22,1+2+3+4+5+7
6,38,3+5+6+7+8+9
6,39,4+5+6+7+8+9
7,28,1+2+3+4+5+6+7
7,29,1+2+3+4+5+6+8
7,41,2+4+5+6+7+8+9
7,42,3+4+5+6+7+8+9
8,36,1+2+3+4+5+6+7+8
8,37,1+2+3+4+5+6+7+9
8,38,1+2+3+4+5+6+8+9
8,39,1+2+3+4+5+7+8+9
8,40,1+2+3+4+6+7+8+9
8,41,1+2+3+5+6+7+8+9
8,42,1+2+4+5+6+7+8+9
8,43,1+3+4+5+6+7+8+9
8,44,2+3+4+5+6+7+8+9
9,45,1+2+3+4+5+6+7+8+9
